company_name,founded_year,company_hq_location,sector,company_description,founders,investor,amount_usd,funding_round,funding_month,funding_year
CollegeDekho,2015.0,Gurugram,E-Learning,"Collegedekho.com is Student’s Partner, Friend & Confidante, To Help Him Take a Decision and Move On to His Career Goals",Ruchir Arora,"Disrupt ADQ, QIC",35000000.0,Series B,12,2021
BOX8,2012.0,Mumbai,Food & Beverages,India's Largest Desi Meals Brand,"Anshul Gupta, Amit Raj",Tiger Global,40000000.0,Unknown,12,2021
Simpl,2015.0,Bengaluru,Consumer Services,"Simpl empowers merchants to build trusted relationships with their customers one transaction at a time through one-click checkout, personalized PoS credit and intelligent loyalty rewards","Nitya, Chaitra Chidanand","Valar Ventures, IA Ventures",40000000.0,Series B,12,2021
8i Ventures,2018.0,Mumbai,Venture Capital & Private Equity,8i is a Mumbai & Bangalore based early stage fund that backs founders creating fintech and consumer category leaders in India.,Vikram Chachra,,50000000.0,Unknown,12,2021
PayGlocal,2021.0,Bengaluru,Financial Services,PayGlocal is a FinTech solving for global payments acceptance,"Prachi Dharani, Rohit Sukhija, Yogesh Lokhande",Sequoia Capital India,4900000.0,Series A,12,2021
Curefit,2016.0,Bengaluru,"Health, Wellness & Fitness",Tata Digital-backed Curefit,"Mukesh Bansal, Ankit",Zomato,145000000.0,Unknown,12,2021
Pocket FM,2018.0,Bengaluru,Ott,"Pocket FM lets users discover and enjoy the greatest selection of audio content ranging from audiobooks, stories and podcasts from the most diverse creator community.","Rohan, Nishanth Srinivas, Prateek Dixit","Lightspeed, Times Group, Tanglin Venture Partners",22000000.0,Series B,12,2021
CHARGE+ZONE,2018.0,Vadodara,Automotive,CHARGE+ZONE is a tech-driven EV Charging infrastructure company specializing in B2B and B2C charging services on both dedicated and opportunity based charging using smart-grid network.,Kartikey Hariyani,Venture Catalysts,10000000.0,Unknown,12,2021
PlanetSpark,2017.0,Gurugram,Education Management,PlanetSpark is building the World Leader in Communication Skills for children in the age groups of 4 to 14 years,"Maneesh Dhooper, Kunal Malik","Binny Bansal, Deep Kalra, Dr Ashish Gupta, Gokul Rajaram, Shirish Nadkarni",13000000.0,Series B,12,2021
LenDenClub,2015.0,Mumbai,Financial Services,P2P lending platform delivering high returns of up to 12% p.a. for 5 years to investors.,"Bhavin Patel, Dipesh Karki","Tuscan Ventures, Ohm Stock Brokers, Artha Venture Fund",10000000.0,Series A,12,2021
CometChat,2009.0,Mumbai,Computer Software,"Voice, video & text chat SDKs, APIs & Plugins for Developers.","Anuj, Anant Garg",Signal Peak Ventures,10000000.0,Series A,12,2021
AgroStar,2013.0,Pune,Agritech,"AgroStar is one of India’s foremost AgTech start-ups, working on the mission of #HelpingFarmersWin.","Shardul, Sitanshu Sheth","Evolvence, Hero Enterprise",70000000.0,Series D,12,2021
Bizongo,2015.0,Mumbai,Information Technology & Services,Bizongo is India’s largest B2B platform for made-to-order products.,"Sachin Agrawal, Aniket Deb, Ankit Tomar",Tiger Global,100000000.0,Series D,12,2021
Probus Insurance,2002.0,Mumbai,Insurance,Probus Insurance is a leading InsurTech platform in India.,Rakesh goyal,BlueOrchard Impact Investment Managers,6700000.0,Unknown,12,2021
MoEngage,2014.0,Bengaluru,Software,Insights-led customer engagement platform for the customer-obsessed marketers & product owners.,"Raviteja Dodda, Yashwanth Kumar",Steadview Capital,30000000.0,Series D,12,2021
CloudSEK,2015.0,Bengaluru,Computer & Network Security,AI-powered Digital Risk Monitoring platform that provides real-time visibility of cyber threats and actionable Intel.,Rahul Sasi,MassMutual Ventures,7000000.0,Series A,12,2021
Exponent Energy,2020.0,Bengaluru,Automotive,Simplifying energy for EVs by building a Flexible Energy Stack.,"Arun Vinayak, Sanjay Byalal",YourNest VC,5000000.0,Pre-Series A,12,2021
Trinkerr,2021.0,Bengaluru,Capital Markets,Trinkerr is India's first social trading platform.,"Manvendra Singh, Gaurav Agarwal",Accel India,6600000.0,Series A,12,2021
Zorro,2021.0,Gurugram,Social Network,Pseudonymous social network platform,"Jasveer Singh, Abhishek Asthana, Deepak Kumar","Vijay Shekhar Sharma, Ritesh Agarwal, Ankiti Bose",32000000.0,Seed,12,2021
Ultraviolette,2021.0,Bengaluru,Automotive,Create and Inspire the future of sustainable urban transportation through Accelerated Innovation.,"Subramaniam Narayan, Niraj Rajmohan","TVS Motor, Zoho",150000000.0,Series C,12,2021
NephroPlus,2009.0,Hyderabad,Hospital & Health Care,"A vision and passion of redefining healthcare delivery in India in 2010, NephroPlus today is India’s largest network of dialysis centres.",Vikram Vuppala,IIFL Asset Management,24000000.0,Series E,12,2021
Unremot,2020.0,Bengaluru,Information Technology & Services,Unremot is a personal office for consultants!,Shiju Radhakrishnan,Inflection Point Ventures,700000.0,Seed,12,2021
FanAnywhere,2021.0,Bengaluru,Financial Services,Celebrity NFT platform,"Varun Chaudhary, Amit Kumar","Oasis Capital, Scorpio VC, DeltaHub Capital",undisclosed,Seed,12,2021
PingoLearn,2021.0,Pune,E-Learning,PingoLearn offers language learning courses with snackable videos.,"Mohit Menghani, Shubham Maheshwari","Titan Capital, Haresh Chawla, AngelList Syndicate",200000.0,Unknown,12,2021
Spry,2021.0,Mumbai,Music,THE BEST ROYALTY-FREE MUSIC TO CREATE TRENDING VIDEOS,"Gaurav Dagaonkar, Meghna Mittal","9Unicorns, Ashneer Grover",1500000.0,Seed,12,2021
Enmovil,2015.0,Hyderabad,Information Technology & Services,Enmovil delivers a Business Intelligence Platform driven by a connected asset ecosystem that enables organizations to maximise their operational efficiency.,"Ravi Bulusu, Nanda Kishore, Venkat Moganty",Anicut Angel Fund,1300000.0,Pre-Series A,12,2021
ASQI Advisors,2019.0,Mumbai,Financial Services,Bringing Blockchain technology intro mainstream finance!,Swapnil Pawar,Founders Room Capital,1000000.0,Pre-Series A,12,2021
Insurance Samadhan,2018.0,New Delhi,Insurance,The insurance industry will help in representation with the insurance companies and will help to find adequate redressal for grievances.,Deepak Bhuvenshwari Uniyal,"9Unicorns, ZNL",725000.0,Pre-Series A,12,2021
